feature,mean_absolute_shap
region,0.0
demand_rolling_mean_24,0.0
demand_rolling_max_3,0.0
demand_rolling_mean_6,0.0
demand_rolling_std_6,0.0
demand_rolling_min_6,0.0
demand_rolling_max_6,0.0
demand_rolling_mean_12,0.0
demand_rolling_std_12,0.0
demand_rolling_min_12,0.0
demand_rolling_max_12,0.0
demand_rolling_std_24,0.0
hour,0.0
demand_rolling_min_24,0.0
demand_rolling_max_24,0.0
demand_rolling_mean_72,0.0
demand_rolling_std_72,0.0
demand_rolling_min_72,0.0
demand_rolling_max_72,0.0
demand_rolling_mean_168,0.0
demand_rolling_std_168,0.0
demand_rolling_min_168,0.0
demand_rolling_min_3,0.0
demand_rolling_std_3,0.0
demand_rolling_mean_3,0.0
demand_lag_336,0.0
day_of_week,0.0
day_of_month,0.0
week_of_year,0.0
month,0.0
quarter,0.0
is_weekend,0.0
hour_sin,0.0
hour_cos,0.0
day_of_week_sin,0.0
day_of_week_cos,0.0
demand_lag_1,0.0
demand_lag_2,0.0
demand_lag_3,0.0
demand_lag_6,0.0
demand_lag_12,0.0
demand_lag_24,0.0
demand_lag_48,0.0
demand_lag_72,0.0
demand_lag_168,0.0
demand_rolling_max_168,0.0
